epoch,train_loss,dev_eer,dev_auc,dev_acc
1,0.08762961399188841,0.06286021695255896,0.9831662823695347,0.9562067299951699
2,0.03978599174853805,0.043669123689883335,0.991671303157348,0.9564884881661568
3,0.025113138373445063,0.042917850256770765,0.9924294503551193,0.9578972790210916
4,0.01872644978690998,0.03807382645034499,0.9941759586586973,0.9694091128642731
5,0.016971039266154533,0.04243008580429772,0.9936511938136188,0.9565287393334406
6,0.01578388298715636,0.04650041063042752,0.9928430644013837,0.9593463210433103
7,0.013962451682533919,0.038914802072190946,0.9945813611525592,0.9498470455643213
8,0.013737802751952381,0.037300127470049016,0.9944676755980193,0.9548381903075189
9,0.014032840848899645,0.04278329697367063,0.9935368129615016,0.9484785058766704
10,0.010954123843054693,0.0337848437379423,0.9956413115051437,0.964015456448237
11,0.008558488264606519,0.03840461207253455,0.9943631873342199,0.9615198840766382
12,0.008846153260500025,0.04207687463492475,0.9939562534254407,0.9403477700853324
13,0.01075539149437907,0.03743468075314915,0.994545830566225,0.9302849782643696
14,0.009370291920757131,0.03369514154920891,0.9960143606585634,0.9247303171791982
15,0.009886120529764628,0.029008096573066564,0.9968755615188031,0.9716631782321687
